Validation: Loss: 0.779388	R: 0.452178
Validation: Loss: 0.729307	R: 0.495269
Validation: Loss: 0.741411	R: 0.492696
Validation: Loss: 0.739996	R: 0.490880
Validation: Loss: 0.738773	R: 0.483568
Validation: Loss: 0.720822	R: 0.503837
Validation: Loss: 0.742093	R: 0.509225
Validation: Loss: 0.717985	R: 0.506123
Validation: Loss: 0.785235	R: 0.485697
Validation: Loss: 0.933971	R: 0.369457
Validation: Loss: 0.849587	R: 0.371222
Validation: Loss: 0.867953	R: 0.359369
Validation: Loss: 0.835842	R: 0.364163
Validation: Loss: 0.861865	R: 0.370625
Validation: Loss: 0.864679	R: 0.374531
Validation: Loss: 0.850156	R: 0.370737
Validation: Loss: 0.856549	R: 0.372178
Validation: Loss: 0.901405	R: 0.367873
Validation: Loss: 0.860757	R: 0.369433
Validation: Loss: 0.845564	R: 0.380166
Validation: Loss: 0.853195	R: 0.383964
Validation: Loss: 0.861485	R: 0.384473
Validation: Loss: 0.848875	R: 0.393972
Validation: Loss: 0.839085	R: 0.402146
Validation: Loss: 0.847312	R: 0.396943
Validation: Loss: 0.839070	R: 0.378702
Validation: Loss: 0.864858	R: 0.384375
Validation: Loss: 0.855549	R: 0.397111
Validation: Loss: 0.843918	R: 0.382971
Validation: Loss: 0.863346	R: 0.383443
Validation: Loss: 0.810206	R: 0.413237
Validation: Loss: 0.834614	R: 0.406964
Validation: Loss: 0.822662	R: 0.411660
Validation: Loss: 0.832622	R: 0.399483
Validation: Loss: 0.814567	R: 0.408275
Validation: Loss: 0.819042	R: 0.406403
Validation: Loss: 0.809379	R: 0.427139
Validation: Loss: 0.831070	R: 0.415463
Validation: Loss: 0.800471	R: 0.421990
Validation: Loss: 0.818015	R: 0.437250
Validation: Loss: 0.799992	R: 0.423274
Validation: Loss: 0.816200	R: 0.430636
Validation: Loss: 0.791225	R: 0.430504
Validation: Loss: 0.799917	R: 0.457238
Validation: Loss: 0.784423	R: 0.445063
Validation: Loss: 0.805545	R: 0.419529
Validation: Loss: 0.814339	R: 0.451420
Validation: Loss: 0.806523	R: 0.456441
Validation: Loss: 0.832886	R: 0.462158
Validation: Loss: 0.801310	R: 0.447383
Validation: Loss: 0.788721	R: 0.441081
Validation: Loss: 0.776444	R: 0.445193
Validation: Loss: 0.792528	R: 0.476386
Validation: Loss: 0.790658	R: 0.468753
Validation: Loss: 0.749474	R: 0.464105
Validation: Loss: 0.776339	R: 0.475222
Validation: Loss: 0.791633	R: 0.471430
Validation: Loss: 0.836690	R: 0.455747
Validation: Loss: 0.774405	R: 0.450616
Validation: Loss: 0.815361	R: 0.476293
Validation: Loss: 0.751914	R: 0.484244
Validation: Loss: 0.779474	R: 0.466272
Validation: Loss: 0.793735	R: 0.463803
Validation: Loss: 0.800372	R: 0.446782
Validation: Loss: 0.789047	R: 0.457244
Validation: Loss: 0.788494	R: 0.491306
Validation: Loss: 0.803018	R: 0.416572
Validation: Loss: 0.797115	R: 0.457063
Validation: Loss: 0.791332	R: 0.467466
Validation: Loss: 0.788532	R: 0.481286
Validation: Loss: 0.805267	R: 0.462901
Validation: Loss: 0.761196	R: 0.465267
Validation: Loss: 0.766038	R: 0.473301
Validation: Loss: 0.819441	R: 0.466140
Validation: Loss: 0.779261	R: 0.495393
Validation: Loss: 0.753420	R: 0.468275
Validation: Loss: 0.749268	R: 0.483535
Validation: Loss: 0.802408	R: 0.480679
Validation: Loss: 0.802708	R: 0.484762
Validation: Loss: 0.777235	R: 0.488887
Validation: Loss: 0.783987	R: 0.489317
Validation: Loss: 0.768297	R: 0.482542
Validation: Loss: 0.787818	R: 0.484775
Validation: Loss: 0.779145	R: 0.467569
Validation: Loss: 0.797241	R: 0.480484
Validation: Loss: 0.848428	R: 0.472787
Validation: Loss: 0.765758	R: 0.482609
Validation: Loss: 0.788113	R: 0.483587
Validation: Loss: 0.825994	R: 0.474924
Validation: Loss: 0.754619	R: 0.484356
Validation: Loss: 0.825665	R: 0.486110
Validation: Loss: 0.785250	R: 0.491906
Validation: Loss: 0.797635	R: 0.476395
Validation: Loss: 0.851369	R: 0.497336
Validation: Loss: 0.709585	R: 0.517664
Validation: Loss: 0.817153	R: 0.467913
Validation: Loss: 0.777755	R: 0.477734
Validation: Loss: 0.787943	R: 0.475661
Validation: Loss: 0.806515	R: 0.473087
Validation: Loss: 0.755262	R: 0.489934
Validation: Loss: 0.795906	R: 0.471886
Validation: Loss: 0.740557	R: 0.497414
Validation: Loss: 0.803528	R: 0.472663
Validation: Loss: 0.757175	R: 0.474995
Validation: Loss: 0.763075	R: 0.479179
Validation: Loss: 0.742505	R: 0.488496
Validation: Loss: 0.722511	R: 0.490540
Validation: Loss: 0.770173	R: 0.493411
Validation: Loss: 0.739507	R: 0.506746
Validation: Loss: 0.781265	R: 0.490031
Validation: Loss: 0.750839	R: 0.506983
Validation: Loss: 0.846402	R: 0.367925
Validation: Loss: 0.855719	R: 0.369058
Validation: Loss: 0.841689	R: 0.368605
Validation: Loss: 0.861119	R: 0.370741
Validation: Loss: 0.854156	R: 0.356486
Validation: Loss: 0.859522	R: 0.366104
Validation: Loss: 0.866436	R: 0.375859
Validation: Loss: 0.849851	R: 0.373659
Validation: Loss: 0.846847	R: 0.379368
Validation: Loss: 0.879736	R: 0.383894
Validation: Loss: 0.839377	R: 0.392118
Validation: Loss: 0.857807	R: 0.402648
Validation: Loss: 0.855228	R: 0.399143
Validation: Loss: 0.851131	R: 0.393366
Validation: Loss: 0.840956	R: 0.427404
Validation: Loss: 0.823369	R: 0.409107
Validation: Loss: 0.844721	R: 0.432196
Validation: Loss: 0.801455	R: 0.452660
Validation: Loss: 0.799394	R: 0.465769
Validation: Loss: 0.777074	R: 0.471724
Validation: Loss: 0.823683	R: 0.441513
Validation: Loss: 0.844068	R: 0.371682
Validation: Loss: 0.872260	R: 0.373081
Validation: Loss: 0.870085	R: 0.371310
Validation: Loss: 0.855035	R: 0.369238
Validation: Loss: 0.858815	R: 0.372767
Validation: Loss: 0.865748	R: 0.372112
Validation: Loss: 0.855657	R: 0.373491
Validation: Loss: 0.855887	R: 0.371390
Validation: Loss: 0.859371	R: 0.377321
Validation: Loss: 0.860962	R: 0.385741
Validation: Loss: 0.863916	R: 0.381933
Validation: Loss: 0.860681	R: 0.384561
Validation: Loss: 0.839387	R: 0.382661
